tweetid,post,label
784436052308000000,"RT @sluggahjells: The #FBF's #2: Long before ""A Seat At The Table"" @solangeknowles had smooth tracks like 2008's ""I Decided"" https://t.co/P…","[""None""]"
802420028725264000,RT @CtrlSec: Targeted #ISIS accounts https://t.co/A6jvlAaMhI https://t.co/bwedgSZCfI https://t.co/G23M5KcTMP #targets #iceisis #opiceisis,"[""None""]"
828660230351372032,RT @SocialIssueNews: World's Saddest Trump Rally Draws Just 8 Supporters... https://t.co/KnobSTpmbH,"[""Trump's campaign is going badly""]"
843431436166336000,"RT @lorettatheprole: Good luck normalizing getting blown up, shot, or tortured to death. https://t.co/DBSuQSnRoA","[""None""]"
791039154058620032,RT @defendernetwork: .@MalikYoba Malik Yoba seeks ‘justice by any means’ in new series. https://t.co/JlCt6UP6f6 https://t.co/vbcjPyKpAM,"[""None""]"
876786665313980032,🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸 President Trump will make America great again! #AmericaFirst #MakeAmericaGreatAgain #MAGA 🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸 https://t.co/kmT3AxlVwT,"[""Trump supports America""]"
847992783381998976,RT @UTHornsRawk: CNN is #veryfakenews https://t.co/i30hcKO9Ru,"[""CNN is dishonest""]"
858601356202056960,"RT @riteprices: Gained 18 new followers in the past day. I’m growing my account the right way, are you? Do it with https://t.co/r3QbYSE3tX","[""None""]"
775536824206843008,RT @terrymendozer: #Connecticut #TrumpPence16 #GroundCampaign Expenses Paid  https://t.co/rGTBUu5hnG,"[""None""]"
608854801917570944,RT @TheMorningSpew: #MakeAMovieLessRomantic  Lawrence of the Labia http://t.co/fJFgBWPBQs,"[""None""]"
769798145274510976,RT @gloed_up: A grandmother of black children recieved an anonymous letter saying-THIS NEIGHBORHOOD DOESN'T NEED ANY BLACKS IN IT https://t…,"[""Neighbors are racist""]"
759687934840807040,RT @fakerapper: Blueberry juice infused cranberries....🤔 https://t.co/g0Hg71U8BC,"[""None""]"
798119342525316992,RT @mishamcs: Thankful for everything I got,"[""None""]"
850916759276141952,RT @GinaBest: Thank you sooooo MUCH Les Johnson for helping us with your #donation.  The aftermath of the tragic #killing of... https://t.c…,"[""None""]"
577851283513560960,"don't need security, I got my own guns","[""Guns are for self-defense""]"
659378248254553984,yes and LIFE at all To stay alive man TY https://t.co/RkVU45dJJC,"[""None""]"
578165805562526976,I need summer sooo much!!,"[""None""]"
818549552403927040,"RT @rapstationradio: #NowPlaying: ""S.E.A.N."" Sean Price - https://t.co/LBtwx7rpdC  https://t.co/M0F1EevpUW","[""None""]"
798945026990624000,RT @JoeConchaTV: I like this Harlan Hill cat... https://t.co/mJ1faCZMEv,"[""None""]"
846740338161191936,What Trump's new climate actions mean: A FAQ https://t.co/pK1RihqZhS,"[""None""]"
736573446256233984,RT @AntiRacismTv: https://t.co/f2fB3jiwNI https://t.co/iDJk9MZkkL,"[""None""]"
851625362425389056,RT @GomerP6699: Gorsuch sworn in as Supreme Court justice ahead of key cases | Fox News https://t.co/uLdOnyRITd,"[""None""]"
788310206262444032,"RT @nine_oh: See Kansas City Model ""Riot"" in the Ultimate Selfie section of 9.0 Magazine ISSUE 2 https://t.co/H1XdrxHjLX","[""None""]"
931689510252855040,RT @PrisonPlanet: Nick Griffin's concern over my sexuality is a little bit hilarious. https://t.co/UMbdwuCCsU,"[""None""]"
815058220406471936,RT @organic2016: Twitter removed likes &amp; RT on @DanaRohrabacher account. Get on FCC 2 stop! 👎🏻😡🇺🇸 https://t.co/bsk1yM1hNT,"[""None""]"
925055463229505024,RT @ZiffyKat: RSBN 10/30/17 🔴 LIVE NOW: Press Secretary Sarah Sanders White House Briefing - Manafor... https://t.co/mv9zWzK1b2,"[""None""]"
731850755632594048,RT @thehill: Hillary Clinton’s top five VP picks https://t.co/Jya1Oi87zs https://t.co/Cmg8NYUhIQ,"[""None""]"
672967606840761984,RT @OpCanary: .@RioTinto Alcan y @MonsantoCo acusados de financiar golpe de Paraguay. Canadá y EEUU reconocieron inmediatamente nuevo régim…,"[""None""]"
746337837952311040,"RT @demi_brandon: @3rdEyePluG ALWAYS money ""donations"" behind their greed.","[""None""]"
803619394253245952,Did you know that black women in California prisons were sterilized to cut welfare costs? https://t.co/gtkhHqpZlc https://t.co/yYCDxXovXc,"[""Black woman in prisons were treated unfairly to save money""]"
853656648073617024,"RT @Drebae_: I'm over the words ""woke/carefree"" These niggas speaking up against misogyny, homophobia &amp; racism or do they just got flowers…","[""None""]"
815646921335278976,RT @RogerJStoneJr: .@ShannonSharpe snags @stoneonstyle's LIFETIME ACHIEVEMENT AWARD! https://t.co/1TqI1LSgO0 #style https://t.co/n10mUopvCb,"[""None""]"
845155504175271040,"RT @MoreAndAgain: Wear* even.  If y'all don't give us an edit button already, @jack! https://t.co/Tmvj9DLHPB","[""None""]"
592841899871992960,RT @AP: Attorney for James Holmes says he suffered psychotic break months before deadly theater shooting: http://t.co/9ISyKzRLPa,"[""None""]"
816180378381778048,RT @FeministaJones: #YouOkSis #Alert https://t.co/AsBTgZn13u,"[""None""]"
714507064786205952,"RT @josephjett: Templeton's Hasenstab shuns Argentina for Mexico, Brazil: SAN MATEO, Calif. March 28 (IFR) - A... https://t.co/IT2NqWgyJ3 v…","[""None""]"
847964809685483008,"RT @samuelmarshal5: @Heygirlfield @UTHornsRawk Well, I am black. So it matters that people are championing illegals to invade the country f…","[""None""]"
724637851497860992,And that's only part of victims! https://t.co/NBqC4BGqle,"[""None""]"
589811244246257024,Why when I ask to show me tits girls feel offenced?,"[""None""]"
814560989484027008,RT @msprettylin271: #Ujamaa  #BuyBlack #BankBlack #RebuildBlack #CooperativeEconomics  #StrengthenBlackCommunties #FailureIsNotAnOption htt…,"[""Black americans should support black business""]"
801322929329995008,RT @MozellKrips: Character is like a tree and reputation its shadow. The shadow is what we think it is; the tree is the real thing.,"[""None""]"
838235753247198976,#ObamaGate #ObamaWiretap IS true so 💥#ARRESTObama💥 💥#ARRESTObama💥 💥#ARRESTObama💥 💥#ARRESTObama💥 💥#ARRESTObama💥 💥#ARRESTObama💥 💥💥💥💥💥💥💥💥💥 🚂🚂🚂🚂 https://t.co/oeeW5U3Rwr,"[""Obama is bad.""]"
846279282959691008,🚨#TheHammer🚨#Cincinnati🚨#AIPAC2017🚨#ConfirmGorsuch🚨#ANTIFA🚨#TedKoppell🚨#PizzaGate🚨#MissingDCGirls🚨#60Minutes🚨#KillTheBill🚨#FireRyan🚨#MAGA🚨 https://t.co/tbvKJ1F0iZ,"[""None""]"
851791076247522944,RT @moneycoachtv: Listen to DIAMOND IN THE SKY PROD BY M.I.C by MONEY COACH MUSIC #np on #SoundCloud https://t.co/sHbIhfwXTr,"[""None""]"
755437454514084992,RT @BlackMoses2015: bring your face out nd we will gladly say it to your face...klan cowards still HIDING under sheets/keyboards/badges htt…,"[""None""]"
692910813884071040,#StopTheGOP  #GOPDebate Whats natural-born?,"[""None""]"
735891526602129024,"@truestormlover @kneelandsan So if you dislike him both as a candidate and as a person it's OK to fight cops, break the law, bring violence?","[""None""]"
794460489573142016,RT @muttmonet: #NoDAPL At least 2 reports of police turning in their badges acknowledging this is not what they signed up for.https://t.co/…,"[""None""]"
730850472022544000,Muslim therapist gives advice on wife beating. Such a wise man! I hope he'll be awarded the Nobel Prize some day! https://t.co/DLVPWsyIVR,"[""Muslim culture is misogynistic""]"
836786503531428992,Winners and losers from President Trump's big speech to Congress https://t.co/vfhPNtuL8t,"[""None""]"
727329713685819008,RT @CarlaCa75380227: @SageHillFarms 🙌👊@FluffyCakeWhore @ReverantRevan @crisismattie @MatherDonald @obbibb @MrNegroMilitant @BlackjediNow ht…,"[""None""]"
577489353892454016,Life is sucks cause I’m fat,"[""None""]"
846287818213219968,RT @omfgWAVY: creating some distance to focus and learn how to love yourself better will never be a bad decision. self love will never stee…,"[""None""]"
556141938634550976,"#iamonFIRE We almost had our love story, but she cam and ruined everything.","[""None""]"
856858370552286976,RT @stopbeefinradio: #NowPlaying Kodak Black No Flocking on https://t.co/1jS42R66sy https://t.co/bawxa2osV2,"[""None""]"
842203377022914048,RT @kiarafrobles: The fact that @maddow is more interested in #TrumpsTaxes than #Vault7 is exactly why MSNBC is fake news.  Want ratings? R…,"[""MSNBC is biased""]"
828012311331826944,"RT @realDonaldTrump: Because the ban was lifted by a judge, many very bad and dangerous people may be pouring into our country. A terrible…","[""immigrants are dangerous""]"
741762991906008960,"Obama's endorsement of Hillary: ""I don't think there's ever been someone so qualified. THINK HARDER DUMBASS!!! https://t.co/PtwZyZB9le","[""Hillary clinton is unqualified"",""Obama is stupid""]"
784052574810872960,"RT @ArtOfMusic_: Trillville - Some Cut  ""What it is hoe/What's Up""  #ThrowbackThursday #TBT   https://t.co/oBmb5Tgful","[""None""]"
774131277121200000,RT @famousquotenet: The universe is transformation; our life is what our thoughts make it. - Marcus Tullius Cicero,"[""None""]"
858999525062717056,🇺🇸 🇺🇸#OperaFire🇺🇸 🇺🇸#UnitedShades🇺🇸 🇺🇸#ClimateMarch🇺🇸 🇺🇸#AmericanGods🇺🇸 🇺🇸#BuildTheWall🇺🇸 🇺🇸#AmericaFirst🇺🇸 🇺🇸#GenerationZ🇺🇸 🇺🇸#MAGA🇺🇸 🇺🇸 https://t.co/yFLjNPQKNb,"[""None""]"
821961750899805952,RT @TheOnion: How Public Schools Spend Taxpayer Money https://t.co/w2FwA83PE7,"[""None""]"
