author_id,cluster_labels,successes
14192531,-1,2
14192531,6,1
14192531,17,1
14724657,4,7
14758527,9,1
15099539,-1,2
15509351,-1,2
15509351,27,1
16073863,0,1
16073863,20,1
16611761,5,1
16936483,5,1
16936483,28,3
17523881,-1,1
17523881,9,2
17523881,19,1
17919393,13,1
18229950,-1,1
18376717,27,1
18396432,3,1
18396432,21,1
18396432,22,1
18396432,24,1
18396432,25,1
19660232,12,4
19660232,15,4
19660232,18,4
19685155,12,1
19685155,15,1
19685155,18,1
21358875,-1,2
22869375,-1,2
22869375,5,1
22869375,12,1
22869375,21,1
23400205,-1,2
24606358,8,1
24606358,13,1
25066509,26,1
25505732,20,1
27323231,3,1
27323231,21,1
27323231,22,1
27323231,24,1
27323231,25,1
27578895,13,1
30534986,-1,2
30779468,10,1
31649027,-1,1
32010718,1,2
32010718,28,2
32281597,-1,1
32281597,23,1
32446433,29,1
32535236,29,1
32818815,5,2
33409429,1,1
33409429,2,1
35932003,5,1
35932003,27,1
36984352,13,1
37573690,-1,2
37573690,12,2
37725640,14,1
39483414,16,1
42634468,5,1
47149825,6,1
48775158,28,2
49200379,13,1
49303023,5,1
49716360,-1,1
51577213,3,1
51577213,21,1
51577213,22,1
51577213,24,1
51577213,25,1
53015733,13,1
56379615,-1,1
56379615,5,1
56379615,28,1
56893127,-1,2
56893127,9,1
56893127,19,3
60925228,5,1
61089072,-1,2
61089072,22,1
62539653,13,1
68721054,-1,2
68721054,8,1
68907489,-1,1
68907489,23,1
74672763,-1,2
82748712,-1,2
88596684,5,1
88596684,6,1
95484415,2,1
96434490,6,2
96894306,-1,1
98928649,27,1
103319385,27,1
103994967,8,1
110208254,-1,1
110208254,20,1
110784859,-1,3
113349253,12,1
113349253,15,1
113349253,18,1
118567880,0,4
118567880,20,4
125596031,23,1
132170371,12,1
132170371,15,1
132170371,18,1
134917795,9,1
134917795,19,3
147390255,-1,1
147390255,7,1
154683344,-1,2
154683344,7,1
154683344,9,1
166992952,28,1
167433989,2,1
180542862,1,1
187370490,10,1
192785790,-1,1
204195494,27,2
206414832,10,1
206414832,26,1
207556133,23,1
208637384,-1,3
222844441,-1,1
222844441,0,1
222844441,20,1
222844441,28,1
245327092,5,1
253194909,-1,1
253194909,5,1
261509642,12,1
261509642,15,1
261509642,18,1
270474413,-1,1
270474413,23,1
279088897,26,1
307000112,-1,1
312397431,-1,1
312397431,27,1
312397431,28,1
312397431,29,2
321517090,5,1
331825712,10,1
331825712,26,1
343473332,1,1
350018443,1,1
350903339,10,1
350903339,26,1
353513434,6,1
359469792,8,1
360868103,2,1
373260286,0,1
377615413,3,1
377615413,21,1
377615413,22,1
377615413,24,1
377615413,25,1
389291183,2,1
397097084,9,2
397097084,19,1
434295005,5,1
437213474,12,1
437213474,15,1
437213474,18,1
441219095,3,1
441219095,21,1
441219095,22,1
441219095,24,1
441219095,25,1
444126896,-1,2
444126896,5,1
454450979,-1,1
476220404,5,1
476220404,17,1
484394727,-1,1
484394727,17,1
489894993,14,1
489917784,3,1
489917784,21,1
489917784,22,1
489917784,24,1
489917784,25,1
508201399,-1,1
517534579,12,1
517534579,15,1
517534579,18,1
526911781,5,1
542278784,3,1
542278784,21,1
542278784,22,1
542278784,24,1
542278784,25,1
543761210,-1,3
548873794,8,1
553224712,23,1
560269072,27,1
587891491,2,1
598820641,-1,1
598820641,16,1
598973191,13,1
600490768,1,1
633831044,14,1
704511136,7,1
704511136,9,1
815656536,5,1
819943134,6,2
854481307,9,1
860113250,-1,1
880624412,5,1
880624412,28,3
886971918,-1,1
1056221641,6,1
1056221641,27,1
1060528460,0,1
1099544179,-1,1
1129969129,11,2
1132881972,-1,2
1132881972,17,1
1151694871,29,1
1255308763,13,1
1347134042,7,1
1347134042,9,1
1402587984,12,1
1402587984,15,1
1402587984,18,1
1449869731,-1,1
1514092232,3,1
1514092232,21,1
1514092232,22,1
1514092232,24,1
1514092232,25,1
1522828765,-1,1
1522828765,16,1
1527009206,-1,3
1590725316,29,1
1602054852,-1,1
1662772646,7,1
1662772646,9,1
1737082974,10,1
1737082974,26,1
1867325696,16,1
1926758318,-1,1
1949859140,-1,3
1972907592,-1,4
1973259390,14,1
2152399620,-1,1
2152399620,0,1
2152399620,9,3
2161351860,12,1
2161351860,15,1
2161351860,18,1
2189295492,5,1
2189295492,28,3
2194693519,12,1
2194693519,15,1
2194693519,18,1
2214573171,3,1
2214573171,21,1
2214573171,22,1
2214573171,24,1
2214573171,25,1
2230291380,-1,2
2230291380,15,1
2261517673,6,2
2278369980,5,1
2307120133,5,1
2331012465,-1,1
2331012465,17,1
2352952614,28,1
2359762387,3,1
2359762387,21,1
2359762387,22,1
2359762387,24,1
2359762387,25,1
2424842408,27,1
2438637581,27,1
2467379556,-1,1
2480886600,6,2
2511455998,0,1
2511455998,6,1
2574221260,10,1
2574221260,26,1
2586952059,27,1
2586952059,29,1
2680268547,12,1
2680268547,15,1
2680268547,18,1
2745984182,3,1
2745984182,21,1
2745984182,22,1
2745984182,24,1
2745984182,25,1
2775880430,28,1
2880122418,1,1
2890136922,-1,1
2890136922,28,1
2894991326,10,1
2895897114,-1,1
2895897114,17,1
2895897114,26,1
2899424222,10,1
2919047954,2,1
2947342141,9,1
2947342141,19,3
2957627335,-1,1
2957627335,20,1
2961847368,29,1
2972424016,2,1
3025729479,-1,1
3039785666,-1,1
3039785666,5,1
3075309993,23,1
3075309993,27,1
3091373190,4,1
3091373190,5,1
3091373190,27,1
3100668829,-1,2
3148780310,5,1
3148780310,27,1
3166124234,-1,4
3166124234,6,1
3166124234,9,1
3166124234,19,3
3167667485,6,1
3196816796,3,1
3196816796,21,1
3196816796,22,1
3196816796,24,1
3196816796,25,1
3214884131,-1,4
3214884131,0,4
3214884131,20,4
3214884131,28,4
3284512646,-1,2
3284512646,27,1
3310887303,-1,1
3310887303,16,1
3324812239,1,1
3428642415,5,1
3428642415,28,3
3433704993,5,1
3654162080,-1,1
3687470835,3,1
3687470835,21,1
3687470835,22,1
3687470835,24,1
3687470835,25,1
3852227112,17,1
3884939003,3,1
3884939003,21,1
3884939003,22,1
3884939003,24,1
3884939003,25,1
3920169198,2,1
3984606922,-1,7
4064968773,2,1
4093983179,22,1
4187791701,28,1
4854143794,5,1
703321989239447553,12,1
703321989239447553,15,1
703321989239447553,18,1
705499966433787904,10,1
705499966433787904,26,1
706209304378896384,3,1
706209304378896384,21,1
706209304378896384,22,1
706209304378896384,24,1
706209304378896384,25,1
713460231599165440,0,1
713460231599165440,20,1
718245694168047617,2,1
720721931423649792,-1,2
720721931423649792,4,1
720721931423649792,6,1
736967318417248256,-1,2
736967318417248256,15,1
748642928466198529,3,1
748642928466198529,21,1
748642928466198529,22,1
748642928466198529,24,1
748642928466198529,25,1
750709443126562816,29,1
762480869852352516,5,1
774937444848398336,-1,2
774937444848398336,4,1
775257162725494784,11,1
783494577869041664,-1,4
783494577869041664,5,1
787736606195277824,29,4
798473888724172800,5,1
811619500093276162,5,1
815369540364304384,8,1
822567864259510272,9,1
822567864259510272,19,3
822674148203712513,12,1
822674148203712513,15,1
822674148203712513,18,1
822729385425801216,7,1
822729385425801216,9,1
824107343738572800,-1,1
824107343738572800,9,1
827776024586887168,20,1
831616856473604097,9,1
831616856473604097,19,3
837737082684641281,5,1
841800213396348928,13,1
842382412403363840,29,1
845615839244095488,14,1
847899028826144768,9,2
847899028826144768,19,1
855135270265470976,3,1
855135270265470976,21,1
855135270265470976,22,1
855135270265470976,24,1
855135270265470976,25,1
857936728165896204,-1,2
857936728165896204,15,1
859581632512016384,5,1
886777182776852480,16,1
892055452858540032,5,1
892953117234352129,27,1
898301964722819073,10,1
898301964722819073,26,1
911775858045599744,-1,1
911775858045599744,16,1
912455159254360064,-1,1
912455159254360064,16,1
913058622007001088,-1,1
913058622007001088,16,1
918580435017457666,-1,2
918580435017457666,8,1
925268595436789760,2,1
933102248212738048,27,1
935379386286723073,-1,1
935379386286723073,16,1
936369075479023616,5,1
938500796429111296,-1,2
938500796429111296,4,1
939619745225166850,6,1
947153707581485057,5,1
952342464685223936,27,1
953315920226775041,3,1
953315920226775041,21,1
953315920226775041,22,1
953315920226775041,24,1
953315920226775041,25,1
953844992060964864,23,1
953844992060964864,27,1
958519356786335744,5,1
964634402725777408,11,1
964634402725777408,27,1
965694944567611394,12,1
965694944567611394,15,1
965694944567611394,18,1
979745256668147712,9,1
979745256668147712,19,3
1016486686958739457,9,1
1024045619227316224,27,1
1034123936953446401,12,1
1034123936953446401,15,1
1034123936953446401,18,1
1035998480236523520,3,1
1035998480236523520,21,1
1035998480236523520,22,1
1035998480236523520,24,1
1035998480236523520,25,1
1046686561771954177,5,1
1048407019689050113,27,1
1049019259395956737,3,2
1050416688066375681,27,1
1052152826095374337,-1,2
1052152826095374337,5,1
1054668909452935170,12,1
1054668909452935170,15,1
1054668909452935170,18,1
1056906683165958144,-1,1
1056906683165958144,11,1
1061752817638084609,-1,1
